year,month,year_month,gender,usertype,age,number_trips,tripduration
2016,02,2016-02,1,Subscriber,32,151,68197
2016,02,2016-02,1,Subscriber,33,194,96783
2016,02,2016-02,1,Subscriber,34,222,93902
2016,02,2016-02,1,Subscriber,35,276,173890
2016,02,2016-02,1,Subscriber,36,430,155630
2016,02,2016-02,1,Subscriber,37,308,187990
2016,02,2016-02,1,Subscriber,38,248,88991
2016,02,2016-02,1,Subscriber,39,405,168864
2016,02,2016-02,1,Subscriber,40,293,396455
2016,02,2016-02,1,Subscriber,41,311,135359
2016,02,2016-02,1,Subscriber,42,190,99947
2016,02,2016-02,1,Subscriber,43,278,140496
2016,02,2016-02,1,Subscriber,44,322,139976
2016,02,2016-02,1,Subscriber,45,87,70346
2016,02,2016-02,1,Subscriber,46,96,60699
2016,02,2016-02,1,Subscriber,47,94,52339
2016,02,2016-02,1,Subscriber,48,136,45982
2016,02,2016-02,1,Subscriber,49,68,21736
2016,02,2016-02,1,Subscriber,50,149,2214656
2016,02,2016-02,1,Subscriber,51,72,42427
2016,02,2016-02,1,Subscriber,52,130,2170124
2016,02,2016-02,1,Subscriber,53,80,44510
2016,02,2016-02,1,Subscriber,54,34,25285
2016,02,2016-02,1,Subscriber,55,96,80690
2016,02,2016-02,1,Subscriber,56,65,40640
2016,02,2016-02,1,Subscriber,57,57,32555
2016,02,2016-02,1,Subscriber,58,101,46643
2016,02,2016-02,1,Subscriber,59,21,13938
2016,02,2016-02,1,Subscriber,60,117,52877
2016,02,2016-02,1,Subscriber,61,38,27514
2016,02,2016-02,1,Subscriber,62,14,13481
2016,02,2016-02,1,Subscriber,63,29,15423
2016,02,2016-02,1,Subscriber,64,138,64892
2016,02,2016-02,1,Subscriber,65,17,6958
2016,02,2016-02,1,Subscriber,66,40,30274
2016,02,2016-02,1,Subscriber,67,3,3471
2016,02,2016-02,1,Subscriber,68,1,500
2016,02,2016-02,1,Subscriber,69,7,6869
